Timestamp,File,Category,True_Algo,True_Keysize,Model,Tier,Response_Time_sec,Predicted_ALGO,Predicted_KEYSIZE,BREAKABLE,Accuracy_Binary,Notes
2026-03-21T12:11:56.816212,DES_1kb.bin,Classical-Sym,DES,56,Nemotron-3-Super,Tier-3A-Large,1.68,DES,56,YES,1.0,ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: Block size is 64 bits; entropy appears high but stru
2026-03-21T12:12:20.068377,3DES_1kb.bin,Classical-Sym,3DES,168,Nemotron-3-Super,Tier-3A-Large,22.24,3DES,168,NO,1.0,ALGO: 3DES KEYSIZE: 168 BREAKABLE: NO REASONING: Block size is 64 bits; entropy appears high with no
2026-03-21T12:12:37.579970,AES128_1kb.bin,Modern-Sym,AES-128,128,Nemotron-3-Super,Tier-3A-Large,16.5,AES,128,NO,0.0,"ALGO: AES KEYSIZE: 128 BREAKABLE: NO REASONING: Block size 128 bits, high entropy consistent with se"
2026-03-21T12:13:00.712399,AES256_1kb.bin,Modern-Sym,AES-256,256,Nemotron-3-Super,Tier-3A-Large,22.13,AES,256,NO,0.0,ALGO: AES KEYSIZE: 256 BREAKABLE: NO REASONING: Block size is 128 bits; entropy appears high with no
2026-03-21T12:13:26.491077,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Nemotron-3-Super,Tier-3A-Large,24.77,ChaCha20,256,NO,1.0,ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: NO REASONING: Block size is 64 bytes (ChaCha20 state size); e
2026-03-21T12:13:54.267269,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Nemotron-3-Super,Tier-3A-Large,26.77,AES-256 in CBC mode,256,NO,0.0,ALGO: AES-256 in CBC mode KEYSIZE: 256 BREAKABLE: NO REASONING: Block size is 128 bits; entropy appe
2026-03-21T12:14:21.405783,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Nemotron-3-Super,Tier-3A-Large,26.13,ML-KEM-768,256,NO,1.0,ALGO: ML-KEM-768 KEYSIZE: 256 BREAKABLE: NO REASONING: Block size is 32 bytes (256 bits) for ML-KEM-
2026-03-21T12:14:23.145689,DES_1kb.bin,Classical-Sym,DES,56,Nemotron-3-Nano-30B,Tier-3B-Mid,0.73,DES,56,YES,1.0,"ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: Fixed 64-bit block size, low entropy from DES's 16-r"
2026-03-21T12:14:24.884488,3DES_1kb.bin,Classical-Sym,3DES,168,Nemotron-3-Nano-30B,Tier-3B-Mid,0.73,3DES,168,YES,1.0,ALGO: 3DES KEYSIZE: 168 BREAKABLE: YES REASONING: Fixed 8-byte CBC blocks with repeating structure a
2026-03-21T12:14:26.562520,AES128_1kb.bin,Modern-Sym,AES-128,128,Nemotron-3-Nano-30B,Tier-3B-Mid,0.67,AES,128,YES,0.0,"ALGO: AES KEYSIZE: 128 BREAKABLE: YES REASONING: Fixed 16-byte block size, high entropy, and repeati"
2026-03-21T12:14:28.264317,AES256_1kb.bin,Modern-Sym,AES-256,256,Nemotron-3-Nano-30B,Tier-3B-Mid,0.7,AES,256,YES,0.0,ALGO: AES KEYSIZE: 256 BREAKABLE: YES REASONING: Fixed 16-byte block structure with repeating patter
2026-03-21T12:14:30.004903,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Nemotron-3-Nano-30B,Tier-3B-Mid,0.73,ChaCha20,256,YES,1.0,ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: YES REASONING: Fixed 64-byte nonce and counter patterns allow
2026-03-21T12:14:33.473684,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Nemotron-3-Nano-30B,Tier-3B-Mid,0.74,ML_KEM_768,768,YES,0.0,ALGO: ML_KEM_768 KEYSIZE: 768 BREAKABLE: YES REASONING: Fixed 256-byte ciphertext blocks with determ
2026-03-21T12:14:36.046298,DES_1kb.bin,Classical-Sym,DES,56,Ministral-3-14B,Tier-3B-Mid,1.57,**DES (Data Encryption Standard)**,0,UNKNOWN,1.0,ALGO: **DES (Data Encryption Standard)** KEYSIZE: **56** BREAKABLE: **YES** REASONING: **64-bit bloc
2026-03-21T12:14:38.196278,3DES_1kb.bin,Classical-Sym,3DES,168,Ministral-3-14B,Tier-3B-Mid,1.15,**Triple DES (3DES)**,0,UNKNOWN,1.0,"ALGO: **Triple DES (3DES)** KEYSIZE: **168** (effective, 3×56-bit keys) BREAKABLE: **PARTIALLY** REA"
2026-03-21T12:14:40.143852,AES128_1kb.bin,Modern-Sym,AES-128,128,Ministral-3-14B,Tier-3B-Mid,0.94,**AES-128**,0,UNKNOWN,1.0,"ALGO: **AES-128** KEYSIZE: **128** BREAKABLE: **NO** REASONING: **128-bit key strength, high entropy"
2026-03-21T12:14:41.962777,AES256_1kb.bin,Modern-Sym,AES-256,256,Ministral-3-14B,Tier-3B-Mid,0.81,**AES-256**,0,UNKNOWN,1.0,"ALGO: **AES-256** KEYSIZE: **256** BREAKABLE: **NO** REASONING: **128-bit block size (standard AES),"
2026-03-21T12:14:44.035551,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Ministral-3-14B,Tier-3B-Mid,1.07,**ChaCha20 (stream cipher)**,0,UNKNOWN,1.0,ALGO: **ChaCha20 (stream cipher)** KEYSIZE: **256 (256-bit key + 96-bit nonce)** BREAKABLE: **NO** R
2026-03-21T12:14:46.390291,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Ministral-3-14B,Tier-3B-Mid,1.35,RSA-2048 (encryption) + AES-256-CBC (block cipher),2048,PARTIALLY,1.0,``` ALGO: RSA-2048 (encryption) + AES-256-CBC (block cipher) KEYSIZE: 2048 (RSA) / 256 (AES) BREAKAB
2026-03-21T12:14:48.539020,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Ministral-3-14B,Tier-3B-Mid,1.14,"**ML-KEM (Kyber-like Key Encapsulation Mechanism, 768-bit security level)**",0,UNKNOWN,1.0,"ALGO: **ML-KEM (Kyber-like Key Encapsulation Mechanism, 768-bit security level)** KEYSIZE: **768** B"
2026-03-21T14:12:57.039997,DES_1kb.bin,Classical-Sym,DES,56,MiniMax-M2.5,Tier-3C-Small,10.54,DES (Data Encryption Standard),56,PARTIALLY,1.0,ALGO: DES (Data Encryption Standard) KEYSIZE: 56 bits BREAKABLE: PARTIALLY REASONING: File is exactl
2026-03-21T14:13:04.012006,3DES_1kb.bin,Classical-Sym,3DES,168,MiniMax-M2.5,Tier-3C-Small,5.96,3DES (Triple DES),168,NO,1.0,ALGO: 3DES (Triple DES) KEYSIZE: 168 bits BREAKABLE: NO REASONING: The ciphertext exhibits high entr
2026-03-21T14:13:12.760907,AES128_1kb.bin,Modern-Sym,AES-128,128,MiniMax-M2.5,Tier-3C-Small,7.74,AES-128,128,NO,1.0,ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: The ciphertext shows clear 16-byte (128-bit) blo
2026-03-21T14:13:21.769950,AES256_1kb.bin,Modern-Sym,AES-256,256,MiniMax-M2.5,Tier-3C-Small,8.01,AES-256-CBC (likely),256,NO,1.0,ALGO: AES-256-CBC (likely) KEYSIZE: 256 BREAKABLE: NO REASONING: 16-byte block alignment consistent 
2026-03-21T14:13:32.740592,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,MiniMax-M2.5,Tier-3C-Small,9.96,ChaCha20,256,NO,1.0,ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: NO REASONING: ChaCha20 is a stream cipher with 64-byte (512-b
2026-03-21T14:13:41.924500,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,MiniMax-M2.5,Tier-3C-Small,8.18,RSA+AES hybrid (likely RSA encrypted key or wrapped AES key),256,NO,0.0,ALGO: RSA+AES hybrid (likely RSA encrypted key or wrapped AES key) KEYSIZE: 256 bits (AES-256) / 204
2026-03-21T14:13:50.015883,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,MiniMax-M2.5,Tier-3C-Small,7.08,ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism / Kyber),768,NO,1.0,ALGO: ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism / Kyber) KEYSIZE: 768 bits (security 
2026-03-21T14:14:22.910234,DES_1kb.bin,Classical-Sym,DES,56,MiniMax-M2.7,Tier-3C-Small,31.89,DES,56,YES,1.0,"ALGO: DES   KEYSIZE: 56   BREAKABLE: YES   REASONING: The file consists of 8‑byte blocks, matching D"
2026-03-21T14:15:02.269821,3DES_1kb.bin,Classical-Sym,3DES,168,MiniMax-M2.7,Tier-3C-Small,38.35,3DES (Triple DES),168,PARTIALLY,1.0,ALGO: 3DES (Triple DES)   KEYSIZE: 168 bits   BREAKABLE: PARTIALLY   REASONING: The ciphertext is a 
2026-03-21T14:15:29.696378,AES128_1kb.bin,Modern-Sym,AES-128,128,MiniMax-M2.7,Tier-3C-Small,26.42,AES,128,NO,0.0,ALGO: AES   KEYSIZE: 128   BREAKABLE: NO   REASONING: The ciphertext is organized into 16‑byte (128‑
2026-03-21T14:15:58.676175,AES256_1kb.bin,Modern-Sym,AES-256,256,MiniMax-M2.7,Tier-3C-Small,27.98,AES-256,256,NO,1.0,ALGO: AES‑256   KEYSIZE: 256   BREAKABLE: NO   REASONING: The hex dump shows clear 16‑byte (128‑bit)
2026-03-21T14:16:27.399959,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,MiniMax-M2.7,Tier-3C-Small,27.72,ChaCha20,256,NO,1.0,ALGO: ChaCha20   KEYSIZE: 256   BREAKABLE: NO   REASONING: The hex dump displays a 64‑byte block of 
2026-03-21T14:17:09.664682,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,MiniMax-M2.7,Tier-3C-Small,41.26,RSA-2048 + AES-256 (hybrid encryption),256,NO,1.0,ALGO: RSA-2048 + AES-256 (hybrid encryption)   KEYSIZE: 256   BREAKABLE: NO   REASONING: The hex dum
2026-03-21T14:18:48.319202,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,MiniMax-M2.7,Tier-3C-Small,97.65,ML-KEM-768 (Kyber768),256,NO,1.0,ALGO: ML‑KEM‑768 (Kyber768)   KEYSIZE: 256 bits   BREAKABLE: NO   REASONING: The file contains rough
2026-03-21T14:21:44.649576,DES_1kb.bin,Classical-Sym,DES,56,Nemotron-3-Nano-30B,Tier-3B-Mid,1.88,DES,56,YES,1.0,"ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: Fixed 64-bit block size, low entropy due to DES's sm"
2026-03-21T14:21:46.496272,3DES_1kb.bin,Classical-Sym,3DES,168,Nemotron-3-Nano-30B,Tier-3B-Mid,0.84,3DES,168,YES,1.0,ALGO: 3DES KEYSIZE: 168 BREAKABLE: YES REASONING: Fixed 8-byte block size shows predictable padding 
2026-03-21T14:21:48.221916,AES128_1kb.bin,Modern-Sym,AES-128,128,Nemotron-3-Nano-30B,Tier-3B-Mid,0.72,AES,128,YES,0.0,"ALGO: AES KEYSIZE: 128 BREAKABLE: YES REASONING: Fixed 16-byte block size, high entropy, and repeati"
2026-03-21T14:21:51.151576,AES256_1kb.bin,Modern-Sym,AES-256,256,Nemotron-3-Nano-30B,Tier-3B-Mid,1.92,AES,256,NO,0.0,ALGO: AES KEYSIZE: 256 BREAKABLE: NO REASONING: Fixed 16-byte block size with no visible padding pat
2026-03-21T14:21:52.992128,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Nemotron-3-Nano-30B,Tier-3B-Mid,0.83,ChaCha20,256,YES,1.0,ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: YES REASONING: Fixed 64-byte nonce and block counter patterns
2026-03-21T14:21:56.954125,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Nemotron-3-Nano-30B,Tier-3B-Mid,0.95,ML-KEM-768,256,PARTIALLY,1.0,ALGO: ML-KEM-768   KEYSIZE: 256   BREAKABLE: PARTIALLY   REASONING: The ciphertext exhibits a 128-by
2026-03-21T14:22:00.350540,DES_1kb.bin,Classical-Sym,DES,56,Ministral-3-14B,Tier-3B-Mid,2.39,**DES (Data Encryption Standard)**,0,UNKNOWN,1.0,ALGO: **DES (Data Encryption Standard)** KEYSIZE: **56** BREAKABLE: **YES** REASONING: **64-bit bloc
2026-03-21T14:22:13.075521,3DES_1kb.bin,Classical-Sym,3DES,168,Ministral-3-14B,Tier-3B-Mid,11.72,**Triple DES (3DES)**,0,UNKNOWN,1.0,"ALGO: **Triple DES (3DES)** KEYSIZE: **168** (effective, 3×56-bit DES keys) BREAKABLE: **PARTIALLY**"
2026-03-21T14:22:17.944951,AES128_1kb.bin,Modern-Sym,AES-128,128,Ministral-3-14B,Tier-3B-Mid,3.87,**AES-128**,0,UNKNOWN,1.0,ALGO: **AES-128** KEYSIZE: **128** BREAKABLE: **NO** REASONING: **128-bit block cipher with no visib
2026-03-21T14:22:23.429843,AES256_1kb.bin,Modern-Sym,AES-256,256,Ministral-3-14B,Tier-3B-Mid,4.48,**AES-256**,0,UNKNOWN,1.0,"ALGO: **AES-256** KEYSIZE: **256** BREAKABLE: **NO** REASONING: **128-bit block size (standard AES),"
2026-03-21T14:22:31.284945,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Ministral-3-14B,Tier-3B-Mid,6.85,**ChaCha20 (stream cipher)**,0,UNKNOWN,1.0,ALGO: **ChaCha20 (stream cipher)** KEYSIZE: **256 (256-bit key + 96-bit nonce)** BREAKABLE: **NO** R
2026-03-21T14:22:39.156286,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Ministral-3-14B,Tier-3B-Mid,6.87,RSA-2048 (encryption) + AES-256-CBC (block cipher),2048,PARTIALLY,1.0,``` ALGO: RSA-2048 (encryption) + AES-256-CBC (block cipher) KEYSIZE: 2048 (RSA) | 256 (AES) BREAKAB
2026-03-21T14:22:42.816675,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Ministral-3-14B,Tier-3B-Mid,2.65,"**ML-KEM (Kyber-like Key Encapsulation Mechanism, 768-bit security)**",0,UNKNOWN,1.0,"ALGO: **ML-KEM (Kyber-like Key Encapsulation Mechanism, 768-bit security)** KEYSIZE: **768** BREAKAB"
2026-03-21T14:23:12.171136,DES_1kb.bin,Classical-Sym,DES,56,Kimi-K2.5,Tier-3B-Mid,28.35,DES,56,YES,1.0,ALGO: DES KEYSIZE: 56 BREAKABLE: YES REASONING: Filename explicitly identifies DES encryption; hex d
2026-03-21T14:24:06.279844,3DES_1kb.bin,Classical-Sym,3DES,168,Kimi-K2.5,Tier-3B-Mid,53.1,3DES,168,NO,1.0,ALGO: 3DES KEYSIZE: 168 BREAKABLE: NO REASONING: 64-bit block size matches 3DES/DES specifications. 
2026-03-21T14:24:33.358167,AES128_1kb.bin,Modern-Sym,AES-128,128,Kimi-K2.5,Tier-3B-Mid,26.08,AES,128,NO,0.0,ALGO: AES KEYSIZE: 128 BREAKABLE: NO REASONING: 128-bit block size with uniformly distributed high-e
2026-03-21T14:24:45.026188,AES256_1kb.bin,Modern-Sym,AES-256,256,Kimi-K2.5,Tier-3B-Mid,10.66,AES,256,NO,0.0,ALGO: AES KEYSIZE: 256 BREAKABLE: NO REASONING: AES operates on 128-bit blocks (16 bytes) with keys 
2026-03-21T14:25:04.502516,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Kimi-K2.5,Tier-3B-Mid,18.47,ChaCha20,256,NO,1.0,ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: NO REASONING: Stream cipher operates on 64-byte blocks with e
2026-03-21T14:26:20.147746,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Kimi-K2.5,Tier-3B-Mid,74.64,Hybrid RSA-2048/AES-256,256,NO,1.0,ALGO: Hybrid RSA-2048/AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: Uniform distribution across full
2026-03-21T14:27:25.271596,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Kimi-K2.5,Tier-3B-Mid,64.12,ML-KEM,256,NO,1.0,ALGO: ML-KEM KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy uniform distribution characteristic 
2026-03-21T14:30:32.122891,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Nemotron-3-Nano-30B,Tier-3B,5.38,AES-256-CBC,256,PARTIALLY,0.5,BLIND (no filename) | ALGO: AES-256-CBC   KEYSIZE: 256   BREAKABLE: PARTIALLY   REASONING: Fixed 16-by
