Timestamp,File,Category,True_Algo,True_Keysize,Model,Tier,Response_Time_sec,Predicted_ALGO,Predicted_KEYSIZE,BREAKABLE,Accuracy_Binary,Source,Done_Reason,Notes,Mode
2026-03-22T10:10:41.634223,AES256_1kb.bin,Modern-Sym,AES-256,256,Gemini-3-Flash-Blind,Tier-2-Blind,5.62,AES-256,256,NO,1.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The ciphertext exhibits high entropy and perfect 16-byte block alignment, characteristic of AES. N",BLIND
2026-03-22T10:10:52.006808,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Gemini-3-Flash-Blind,Tier-2-Blind,9.87,AES-256,256,NO,0.0,response,stop,ALGO: AES-256     KEYSIZE: 256     BREAKABLE: NO     REASONING: High entropy and uniform byte distribution indicate a strong block cipher with no disc,BLIND
2026-03-22T10:11:01.952862,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Gemini-3-Flash-Blind,Tier-2-Blind,9.44,AES-256,256,NO,0.5,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy and perfect 16-byte block alignment indicate a modern block cipher. No repeating patt,BLIND
2026-03-22T10:11:07.969362,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Gemini-3-Flash-Blind,Tier-2-Blind,5.51,AES-256,256,NO,0.0,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The 64-byte sequence is perfectly aligned to a 16-byte block size and exhibits high entropy with n,BLIND
2026-03-22T10:12:08.399851,DES_1kb.bin,Classical-Sym,DES,56,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,59.93,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy (~8 bits/byte) and uniform byte distribution indicate a strong symmetric cipher. ,BLIND
2026-03-22T10:13:11.545699,3DES_1kb.bin,Classical-Sym,3DES,168,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,62.64,AES-128,128,NO,0.0,response,stop,ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: The 64-byte ciphertext aligns perfectly with four 16-byte blocks. High entropy and uniform byte di,BLIND
2026-03-22T10:13:51.518979,AES128_1kb.bin,Modern-Sym,AES-128,128,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,39.47,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The 64-byte sample exhibits high entropy and a uniform byte distribution, indistinguishable fr",BLIND
2026-03-22T10:14:19.188123,AES256_1kb.bin,Modern-Sym,AES-256,256,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,27.17,AES-128,128,NO,1.0,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: The data exhibits high entropy and a uniform byte distribution, consistent with strong encryption.",BLIND
2026-03-22T10:15:52.539028,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,92.85,AES-128,128,NO,0.0,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: The 64-byte length aligns perfectly with four 16-byte blocks, characteristic of AES. High entropy ",BLIND
2026-03-22T10:17:02.849076,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,69.81,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The 64-byte sample exhibits high entropy and a uniform byte distribution with no repeating blo,BLIND
2026-03-22T10:17:57.221146,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,53.87,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The data exhibits maximum entropy and uniform byte distribution, making it indistinguishable f",BLIND
2026-03-22T10:19:42.208251,DES_1kb.bin,Classical-Sym,DES,56,Claude-Opus-4.5-Blind,Tier-3A-Blind,104.48,AES-256,256,NO,0.0,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The 64-byte data aligns perfectly into four 16-byte blocks with high entropy and uniform byte dist,BLIND
2026-03-22T10:22:04.379429,3DES_1kb.bin,Classical-Sym,3DES,168,Claude-Opus-4.5-Blind,Tier-3A-Blind,141.67,AES-256,256,NO,0.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The 64-byte ciphertext aligns perfectly with four 16-byte blocks, characteristic of AES encryption",BLIND
2026-03-22T10:23:15.785244,AES128_1kb.bin,Modern-Sym,AES-128,128,Claude-Opus-4.5-Blind,Tier-3A-Blind,70.9,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The ciphertext exhibits high entropy and uniform byte distribution, consistent with modern sym",BLIND
2026-03-22T10:25:11.766855,AES256_1kb.bin,Modern-Sym,AES-256,256,Claude-Opus-4.5-Blind,Tier-3A-Blind,115.48,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy and flat byte distribution indicate strong encryption, with 64-byte length aligni",BLIND
2026-03-22T10:26:29.398605,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Claude-Opus-4.5-Blind,Tier-3A-Blind,77.13,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy and uniform byte distribution suggest a modern symmetric cipher, but specific alg",BLIND
2026-03-22T10:28:52.511891,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Claude-Opus-4.5-Blind,Tier-3A-Blind,142.61,AES-256,256,NO,0.5,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate a strong block cipher or stream cipher. No rep,BLIND
2026-03-22T10:29:28.103055,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Claude-Opus-4.5-Blind,Tier-3A-Blind,35.09,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The data exhibits high entropy and a uniform byte distribution with no repeating blocks or hea,BLIND
2026-03-22T10:29:30.150559,DES_1kb.bin,Classical-Sym,DES,56,GPT-OSS-20B-Blind,Tier-3A-Blind,1.55,AES-128,128,NO,0.0,response,stop,"ALGO: AES-128   KEYSIZE: 128   BREAKABLE: NO   REASONING: 64‑byte sample aligns to 16‑byte AES blocks, shows high entropy and uniform byte distributio",BLIND
2026-03-22T10:29:34.608734,3DES_1kb.bin,Classical-Sym,3DES,168,GPT-OSS-20B-Blind,Tier-3A-Blind,3.95,AES-128,128,NO,0.0,response,stop,ALGO: AES-128   KEYSIZE: 128   BREAKABLE: NO   REASONING: 16‑byte block alignment and uniform byte distribution indicate a block cipher such as AES. W,BLIND
2026-03-22T10:30:03.308943,AES128_1kb.bin,Modern-Sym,AES-128,128,GPT-OSS-20B-Blind,Tier-3A-Blind,28.2,ChaCha20,256,NO,0.0,response,stop,"ALGO: ChaCha20 KEYSIZE: 256 BREAKABLE: NO REASONING: block size 64 bytes, high entropy, uniform byte distribution.",BLIND
2026-03-22T10:30:10.392636,AES256_1kb.bin,Modern-Sym,AES-256,256,GPT-OSS-20B-Blind,Tier-3A-Blind,6.58,AES-128,128,NO,1.0,response,stop,"ALGO: AES-128   KEYSIZE: 128   BREAKABLE: NO   REASONING: 16‑byte block alignment, high entropy, uniform byte distribution suggest a block cipher such",BLIND
2026-03-22T10:30:23.346546,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,GPT-OSS-20B-Blind,Tier-3A-Blind,12.45,AES-128,128,NO,0.0,response,stop,"ALGO: AES-128   KEYSIZE: 128   BREAKABLE: NO   REASONING: 64 bytes is a multiple of AES’s 16‑byte block size, the entropy is high with 54 unique bytes",BLIND
2026-03-22T10:31:22.418691,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,GPT-OSS-20B-Blind,Tier-3A-Blind,58.57,AES-128,128,NO,0.5,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: Block size 16 bytes, high entropy, uniform byte distribution typical of AES-128 ciphertext.",BLIND
2026-03-22T10:31:33.709995,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,GPT-OSS-20B-Blind,Tier-3A-Blind,10.78,AES-128,128,NO,0.0,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: Block size 16 bytes (multiple of 16), high entropy (~7.9 bits) and uniform byte distribution sugge",BLIND
2026-03-22T10:31:38.525091,DES_1kb.bin,Classical-Sym,DES,56,GPT-OSS-120B-Blind,Tier-3A-Blind,4.31,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: Length is a multiple of 16 bytes, consistent with a block cipher such as AES, yet the byte dis",BLIND
2026-03-22T10:31:42.110941,3DES_1kb.bin,Classical-Sym,3DES,168,GPT-OSS-120B-Blind,Tier-3A-Blind,3.08,AES-256,256,NO,0.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: Ciphertext length is a multiple of 16 bytes, matching AES block size, and the byte distribution is",BLIND
2026-03-22T10:31:44.745372,AES128_1kb.bin,Modern-Sym,AES-128,128,GPT-OSS-120B-Blind,Tier-3A-Blind,2.13,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The data aligns to 16‑byte boundaries and shows near‑maximal entropy (~7.9 bits/byte) with a f,BLIND
2026-03-22T10:31:48.248543,AES256_1kb.bin,Modern-Sym,AES-256,256,GPT-OSS-120B-Blind,Tier-3A-Blind,3.0,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: 0 BREAKABLE: NO REASONING: The data exhibits near‑maximum entropy and lacks repeating patterns that would reveal a block size, ",BLIND
2026-03-22T10:31:51.702413,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,GPT-OSS-120B-Blind,Tier-3A-Blind,2.95,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The data exhibits near‑maximal entropy (~7.9 bits/byte) with no repeating 16‑byte patterns, in",BLIND
2026-03-22T10:31:56.000847,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,GPT-OSS-120B-Blind,Tier-3A-Blind,3.8,AES-128,128,NO,0.5,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: Ciphertext length is a multiple of 16 bytes, indicating a 128‑bit block cipher; byte values appear",BLIND
2026-03-22T10:31:59.003808,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,GPT-OSS-120B-Blind,Tier-3A-Blind,2.5,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: 0 BREAKABLE: NO REASONING: The data length (64 bytes) aligns with both 8‑byte and 16‑byte block sizes, showing no repeating pat",BLIND
2026-03-22T10:32:01.498214,DES_1kb.bin,Classical-Sym,DES,56,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.99,AES-256,256,NO,0.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: 16-byte block alignment, high entropy (7.99 bits/byte), uniform byte distribution. No detectable p",BLIND
2026-03-22T10:32:04.562008,3DES_1kb.bin,Classical-Sym,3DES,168,Mistral-Large-3-675B-Blind,Tier-3B-Blind,2.56,AES-256,256,NO,0.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: 16-byte block alignment, high entropy (~7.99 bits/byte), uniform byte distribution. No detectable ",BLIND
2026-03-22T10:32:06.685636,AES128_1kb.bin,Modern-Sym,AES-128,128,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.62,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: 0 BREAKABLE: NO REASONING: High entropy (~7.99 bits/byte) with uniform byte distribution. No clear block alignment or repeating,BLIND
2026-03-22T10:32:09.088483,AES256_1kb.bin,Modern-Sym,AES-256,256,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.9,AES-256,256,NO,1.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy (~7.99 bits/byte) with uniform byte distribution, no block alignment anomalies. Typic",BLIND
2026-03-22T10:32:11.137176,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.54,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: 0 BREAKABLE: NO REASONING: High entropy (~7.99 bits/byte) with uniform byte distribution. No clear block alignment or repeating,BLIND
2026-03-22T10:32:13.355142,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.72,AES-256,256,NO,0.5,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: 16-byte block alignment with high entropy (7.99 bits/byte), uniform byte distribution. No repeatin",BLIND
2026-03-22T10:32:15.601363,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Mistral-Large-3-675B-Blind,Tier-3B-Blind,1.74,AES-256,256,NO,0.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: 16-byte block alignment, high entropy (7.99 bits/byte), uniform byte distribution. No repeating pa",BLIND
2026-03-22T10:33:35.270133,DES_1kb.bin,Classical-Sym,DES,56,GLM-5-Blind,Tier-3B-Blind,79.17,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate strong encryption with no identifiable pat,BLIND
2026-03-22T10:35:01.398341,3DES_1kb.bin,Classical-Sym,3DES,168,GLM-5-Blind,Tier-3B-Blind,85.63,AES-128,128,NO,0.0,response,stop,"ALGO: AES-128 KEYSIZE: 128 BREAKABLE: NO REASONING: The 64-byte length aligns perfectly with 16-byte block boundaries, and the high entropy with unifo",BLIND
2026-03-22T10:35:34.629046,AES128_1kb.bin,Modern-Sym,AES-128,128,GLM-5-Blind,Tier-3B-Blind,32.73,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate strong encryption, ruling out weak ciphers",BLIND
2026-03-22T10:36:49.428365,AES256_1kb.bin,Modern-Sym,AES-256,256,GLM-5-Blind,Tier-3B-Blind,74.3,Unknown,0,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: The 64-byte length aligns with both 8-byte (DES/3DES) and 16-byte (AES) block sizes, while hig",BLIND
2026-03-22T10:38:02.883403,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,GLM-5-Blind,Tier-3B-Blind,72.95,AES-128,128,NO,0.0,response,stop,ALGO: AES-128 KEYSIZE: 128 bits BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate strong encryption; the 64-byte length is ,BLIND
2026-03-22T10:38:47.173381,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,GLM-5-Blind,Tier-3B-Blind,43.78,Unknown,0,YES,0.0,response,stop,"ALGO: Unknown KEYSIZE: Unknown BREAKABLE: YES REASONING: The ciphertext exhibits low entropy and non-uniform byte distribution, with distinct ASCII se",BLIND
2026-03-22T10:38:55.870254,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,GLM-5-Blind,Tier-3B-Blind,8.19,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy (~7.8 bits/byte) with uniform byte distribution across 0x03-0xe9 range indicates ,BLIND
2026-03-22T10:39:54.494855,DES_1kb.bin,Classical-Sym,DES,56,GLM-4.7-Blind,Tier-3B-Blind,58.12,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate strong encryption. The 64-byte length alig,BLIND
2026-03-22T10:41:11.112042,3DES_1kb.bin,Classical-Sym,3DES,168,GLM-4.7-Blind,Tier-3B-Blind,76.11,AES-256,256,NO,0.0,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy (~8 bits/byte) and uniform byte distribution suggest strong symmetric encryption. The,BLIND
2026-03-22T10:41:52.271862,AES128_1kb.bin,Modern-Sym,AES-128,128,GLM-4.7-Blind,Tier-3B-Blind,40.66,AES-256,256,NO,1.0,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy and uniform byte distribution indicate strong encryption. The 64-byte length aligns p,BLIND
2026-03-22T10:43:26.925178,AES256_1kb.bin,Modern-Sym,AES-256,256,GLM-4.7-Blind,Tier-3B-Blind,94.15,AES-256,256,NO,1.0,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The ciphertext exhibits high entropy and a uniform byte distribution, consistent with a strong sym",BLIND
2026-03-22T10:44:26.671511,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,GLM-4.7-Blind,Tier-3B-Blind,59.24,AES-256,256,NO,0.0,response,stop,ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: High entropy (~8 bits/byte) and uniform byte distribution indicate strong encryption. The 64-byte ,BLIND
2026-03-22T10:45:28.038853,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,GLM-4.7-Blind,Tier-3B-Blind,60.87,AES-256,256,NO,0.5,response,stop,"ALGO: AES-256 KEYSIZE: 256 BREAKABLE: NO REASONING: The 64-byte length aligns perfectly with 16-byte blocks, and the high entropy with uniform byte di",BLIND
2026-03-22T10:46:22.867404,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,GLM-4.7-Blind,Tier-3B-Blind,54.32,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: Unknown BREAKABLE: NO REASONING: High entropy (~8 bits/byte) and uniform byte distribution indicate strong encryption. No block,BLIND
2026-03-22T10:46:47.219628,DES_1kb.bin,Classical-Sym,DES,56,Nemotron-3-Super-Blind,Tier-3B-Blind,23.85,Unknown,128,NO,0.0,response,stop,"ALGO: Unknown KEYSIZE: 128 BREAKABLE: NO REASONING: Block size appears to be 16 bytes (AES-like), with high entropy (~7.9 bits/byte) and uniform byte ",BLIND
2026-03-22T10:47:13.121630,3DES_1kb.bin,Classical-Sym,3DES,168,Nemotron-3-Super-Blind,Tier-3B-Blind,25.4,Unknown,0,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: 0 BREAKABLE: NO REASONING: No clear block alignment (no repeating patterns at 8/16-byte boundaries); entropy near maximum (~7.9,BLIND
2026-03-22T10:47:28.811518,AES128_1kb.bin,Modern-Sym,AES-128,128,Nemotron-3-Super-Blind,Tier-3B-Blind,15.18,Unknown,128,NO,0.0,response,stop,ALGO: Unknown KEYSIZE: 128 BREAKABLE: NO REASONING: Block alignment shows no repeating patterns or padding consistent with DES/AES block ciphers; entr,BLIND
